"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Slithering Cryptid","UG","C","139500","6.12","21243","8.71","84115","61.1%","54.3%","15122","53.9%","23125","56.9%","38247","55.7%","45779","53.1%","2.6pp"
"Splinter, Radical Rat","WB","R","5754","2.35","1870","2.68","12313","84.6%","55.3%","2219","54.6%","3010","56.0%","5229","55.4%","7121","55.2%","0.3pp"
"Tainted Treats","BG","U","30061","3.44","9529","4.04","55890","85.4%","56.9%","9682","57.6%","15917","63.1%","25599","61.0%","30281","53.4%","7.7pp"
"Tokka & Rahzar, Terrible Twos","BR","R","9867","3.55","1647","4.75","6303","57.0%","52.1%","1150","54.3%","1497","49.5%","2647","51.6%","3668","52.6%","-1.0pp"
"Chrome Dome","","R","5093","2.14","2772","2.26","20509","90.7%","57.9%","3729","58.1%","5609","62.8%","9338","60.9%","10952","55.1%","5.8pp"
"Everything Pizza","","U","41462","4.71","14014","5.23","72574","73.1%","59.8%","13564","61.2%","19052","65.9%","32616","64.0%","32155","53.1%","10.8pp"
"Henchbots","","U","46986","4.85","6185","6.94","21049","53.2%","52.2%","3649","48.3%","5561","53.4%","9210","51.4%","11786","52.8%","-1.4pp"
"Krang, Utrom Warlord","","M","3777","2.33","1170","2.50","5783","65.5%","52.4%","942","52.3%","1688","56.6%","2630","55.1%","3135","50.2%","4.9pp"
"Omni-Cheese Pizza","","C","141728","5.94","26781","8.07","110978","62.4%","57.0%","20613","55.9%","29590","60.3%","50203","58.5%","56002","55.1%","3.3pp"
"The Ooze","","R","3468","1.58","2283","1.60","18472","95.7%","56.1%","3303","57.5%","4802","59.0%","8105","58.4%","10245","54.1%","4.3pp"
"Skateboard","","U","57348","6.22","6045","9.43","8468","21.5%","52.7%","1496","48.5%","2024","53.9%","3520","51.6%","4893","53.4%","-1.8pp"
"Technodrome","","M","3565","2.19","1621","2.29","10943","83.2%","56.7%","1933","60.6%","3050","57.9%","4983","58.9%","5905","54.6%","4.3pp"
"Turtle Blimp","","U","49972","5.17","12863","6.48","65093","74.8%","58.3%","11034","56.5%","17436","61.0%","28470","59.2%","36296","57.5%","1.7pp"
"Turtle Van","","R","3648","1.67","2308","1.70","18602","96.6%","56.1%","3262","60.3%","4967","56.3%","8229","57.9%","10322","54.4%","3.5pp"
"Weather Maker","","R","5615","2.37","2806","2.48","19503","90.0%","57.0%","3561","62.8%","5333","59.0%","8894","60.5%","10464","53.8%","6.7pp"
"Dimension X","","C","97089","6.51","16024","9.23","54128","51.5%","55.9%","9793","57.5%","13162","55.7%","22955","56.5%","31130","55.4%","1.1pp"
"Escape Tunnel","","C","85803","5.06","17833","7.05","109865","92.9%","56.9%","20437","57.5%","28230","57.9%","48667","57.7%","61064","56.3%","1.4pp"
"Foot Headquarters","","C","91703","5.81","16017","8.26","79051","74.4%","57.6%","14737","58.8%","18431","55.7%","33168","57.1%","45792","57.9%","-0.8pp"
"Illegitimate Business","","C","90800","5.76","16556","8.02","83296","76.4%","56.5%","15270","57.7%","22793","59.2%","38063","58.6%","45032","54.8%","3.8pp"
"Mutant Town","","C","92569","6.03","18341","8.23","86908","71.8%","56.4%","16077","58.4%","24519","59.6%","40596","59.2%","46120","53.9%","5.2pp"
