"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Squirrelanoids","B","C","119057","5.03","20954","6.82","111815","80.1%","57.2%","19973","59.8%","26216","55.9%","46189","57.6%","65609","57.0%","0.6pp"
"Stomped by the Foot","B","C","104537","4.40","22126","5.82","123804","84.6%","56.8%","21870","55.5%","31610","58.9%","53480","57.5%","70356","56.2%","1.3pp"
"Super Shredder","B","M","2195","1.53","1343","1.56","11140","88.6%","56.8%","2050","58.1%","2915","60.3%","4965","59.4%","6228","54.8%","4.6pp"
"Tunnel Rats","B","C","150914","7.01","19596","10.08","48591","37.7%","54.7%","8671","53.4%","11571","54.6%","20242","54.1%","28395","55.1%","-1.0pp"
"Bot Bashing Time","R","C","139320","6.37","18705","9.09","56860","46.8%","53.3%","9479","50.8%","14611","54.9%","24090","53.3%","32780","53.4%","-0.1pp"
"Broadcast Takeover","R","M","12032","5.60","1635","8.49","146","1.3%","","25","","35","","60","","86","",""
"Casey Jones, Jury-Rig Justiciar","R","U","38158","4.32","10539","5.00","59744","81.6%","58.9%","10539","61.6%","15898","61.2%","26437","61.4%","33326","57.0%","4.4pp"
"Casey Jones, Vigilante","R","R","13275","4.51","2050","6.15","5500","40.5%","51.5%","886","48.2%","1393","53.0%","2279","51.1%","3205","51.8%","-0.6pp"
"Cool but Rude","R","R","9555","3.58","1741","4.51","6203","51.5%","51.2%","1128","48.5%","1604","51.9%","2732","50.5%","3462","51.7%","-1.2pp"
"General Traag, Heart of Stone","R","U","39502","4.48","8933","5.53","45237","75.8%","56.9%","7600","54.3%","12240","59.8%","19840","57.7%","24651","56.0%","1.8pp"
"Hard-Won Jitte","R","U","54849","6.41","5660","9.75","6322","17.4%","48.5%","1075","44.1%","1583","47.6%","2658","46.2%","3585","50.1%","-4.0pp"
"Improvised Arsenal","R","R","7363","2.87","2534","3.20","16134","82.2%","56.1%","2823","55.6%","4363","59.3%","7186","57.8%","8611","54.1%","3.7pp"
"Jennika's Technique","R","U","58390","6.86","7096","10.02","6583","14.1%","53.8%","1087","55.7%","1865","57.3%","2952","56.7%","3631","51.4%","5.3pp"
"Manhole Missile","R","C","99622","4.36","25420","5.37","148401","86.1%","57.8%","26142","59.1%","38472","60.2%","64614","59.8%","83798","56.3%","3.5pp"
"Mouser Attack!","R","C","155726","8.00","15911","11.82","9532","9.2%","50.6%","1665","48.8%","2178","49.8%","3843","49.4%","5696","51.3%","-1.9pp"
"Mouser Foundry","R","C","111242","4.89","27039","6.02","154681","84.9%","58.0%","27510","59.2%","40769","60.1%","68279","59.7%","83818","56.3%","3.5pp"
"Mutant Town Musicians","R","C","156484","8.05","17410","11.61","18806","16.5%","53.8%","3319","53.8%","4153","52.5%","7472","53.1%","11348","54.3%","-1.3pp"
"Null Group Biological Assets","R","C","155704","7.86","17874","11.34","20112","17.2%","53.8%","3506","52.5%","4618","52.2%","8124","52.4%","12001","54.9%","-2.5pp"
"Old Hob, Alleycat Blues","R","U","43423","4.97","6294","6.86","20256","50.1%","52.4%","3415","50.7%","4734","52.7%","8149","51.9%","12161","52.7%","-0.8pp"
"Purple Dragon Punks","R","C","154001","7.68","20574","10.75","35068","26.1%","54.3%","6158","53.8%","9025","54.7%","15183","54.3%","19904","54.3%","0.1pp"
"Raphael, Most Attitude","R","U","45374","5.17","5689","7.38","18225","49.5%","53.0%","3124","51.3%","4447","50.9%","7571","51.1%","10736","54.2%","-3.1pp"
"Raphael, Ninja Destroyer","R","M","4119","3.00","871","3.63","3759","63.1%","51.6%","665","52.5%","914","49.8%","1579","50.9%","2196","52.1%","-1.2pp"
"Raphael, the Nightwatcher","R","R","6699","2.46","2267","2.71","14834","84.8%","56.1%","2497","57.0%","3818","60.2%","6315","58.9%","8576","54.0%","4.9pp"
"Raphael, Tough Turtle","R","C","136648","6.04","17247","8.69","59725","53.2%","54.2%","10523","54.4%","13841","52.9%","24364","53.5%","35404","54.6%","-1.1pp"
"Raphael's Technique","R","R","18769","5.85","2409","8.89","818","5.2%","46.2%","123","","202","","325","","486","",""
"Ravenous Robots","R","R","5636","2.35","2435","2.61","18708","87.6%","58.2%","3347","65.2%","5129","59.3%","8476","61.6%","9921","54.8%","6.9pp"
"Rock Soldiers","R","C","157867","7.97","17894","11.53","13763","11.8%","51.3%","2295","50.2%","3529","52.1%","5824","51.3%","7761","51.1%","0.2pp"
"Slash, Reptile Rampager","R","R","5045","2.26","1906","2.47","13454","85.7%","55.3%","2255","55.8%","3629","57.5%","5884","56.8%","7660","54.0%","2.9pp"
"Spicy Oatmeal Pizza","R","U","32910","3.68","9956","4.43","58645","87.6%","56.8%","10027","55.3%","15328","58.4%","25355","57.2%","31457","56.0%","1.2pp"
"Wingnut, Bat on the Belfry","R","U","45242","5.19","6496","7.10","22745","53.9%","53.6%","4011","53.8%","5029","51.7%","9040","52.6%","13717","54.2%","-1.6pp"
"Zog, Triceraton Castaway","R","C","155691","7.79","17277","11.41","15333","13.7%","51.7%","2706","50.1%","3804","51.9%","6510","51.2%","8885","52.0%","-0.8pp"
"Courier of Comestibles","G","U","34212","3.83","12133","4.32","69493","81.6%","58.4%","12660","61.7%","19582","63.6%","32242","62.8%","37325","54.5%","8.3pp"
"Cowabunga!","G","C","153661","7.70","17272","11.26","20508","18.3%","52.8%","3711","51.7%","5578","54.3%","9289","53.3%","11231","52.4%","0.9pp"
"Frog Butler","G","C","85144","3.79","25569","4.48","156938","90.0%","57.1%","28649","62.4%","43899","60.7%","72548","61.4%","84584","53.4%","8.0pp"
"Groundchuck & Dirtbag","G","R","6446","2.56","2270","2.84","15077","85.1%","55.5%","2490","55.1%","4399","60.4%","6889","58.5%","8301","53.0%","5.5pp"
"Guac & Marshmallow Pizza","G","C","147438","6.97","18459","10.07","38000","31.9%","53.0%","6302","50.9%","9833","56.8%","16135","54.5%","19483","50.9%","3.6pp"
"Leatherhead, Swamp Stalker","G","R","4678","2.06","2279","2.21","16792","86.3%","56.5%","2956","61.3%","4789","61.5%","7745","61.4%","8954","52.1%","9.3pp"
"Michelangelo, Game Master","G","C","132383","5.58","17072","8.09","73627","67.5%","53.3%","12873","52.3%","20219","55.7%","33092","54.4%","40513","52.5%","1.9pp"
"Michelangelo, Improviser","G","M","2540","2.07","950","2.31","6307","84.9%","53.4%","1041","54.5%","1719","58.2%","2760","56.8%","3537","50.7%","6.0pp"
"Michelangelo, Mutant BFF","G","U","27468","3.32","7078","4.08","41831","88.4%","55.1%","7030","56.4%","11872","59.7%","18902","58.5%","22959","52.4%","6.1pp"
"Michelangelo, Weirdness to 11","G","R","5321","2.07","2300","2.30","16431","88.2%","55.5%","3005","59.6%","4483","61.1%","7488","60.5%","8892","51.4%","9.1pp"
"Michelangelo's Technique","G","R","8999","3.38","1659","4.31","6524","56.7%","52.0%","1141","52.8%","1727","56.7%","2868","55.2%","3654","49.6%","5.6pp"
"Mona Lisa, Science Geek","G","U","38174","4.22","8351","5.33","43345","80.3%","54.3%","7675","54.8%","12082","57.0%","19757","56.1%","23544","52.8%","3.3pp"
"Mutagen Man, Living Ooze","G","R","4654","2.06","2158","2.23","16322","88.1%","55.2%","2830","54.7%","4682","61.1%","7512","58.7%","8789","52.3%","6.4pp"
"Mutant Chain Reaction","G","C","152496","7.66","15439","11.43","13957","14.0%","49.8%","2245","48.2%","3865","52.9%","6110","51.1%","7861","48.8%","2.3pp"
"New Generation's Technique","G","U","53412","6.06","6450","8.89","12548","30.3%","51.9%","2068","51.6%","3479","53.5%","5547","52.8%","7007","51.1%","1.7pp"
"Novel Nunchaku","G","U","32896","3.68","9122","4.43","51188","83.7%","55.4%","8480","54.8%","14394","60.9%","22874","58.7%","28279","52.8%","5.9pp"
"Party Dude","G","R","9270","3.35","1642","4.23","6138","56.0%","49.7%","1069","48.4%","1690","53.0%","2759","51.2%","3379","48.6%","2.6pp"
"Primordial Pachyderm","G","C","132908","5.87","23016","7.90","106526","71.1%","55.7%","18277","55.2%","30776","59.4%","49053","57.9%","57956","53.8%","4.1pp"
"Ragamuffin Raptor","G","C","133554","5.91","23418","8.02","107816","70.8%","55.3%","17877","51.6%","31518","59.9%","49395","56.9%","58641","54.0%","2.9pp"
