"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Mechanized Production","U","M","899","4.18","136","","306","35.7%","","57","","107","","164","","142","",""
"Narset's Reversal","U","M","1211","4.71","155","","313","32.4%","","62","","77","","139","","174","",""
"Reconnaissance Mission","U","M","803","3.51","177","","714","66.4%","52.5%","137","","200","","337","","377","",""
"Show and Tell","U","M","1252","5.57","168","","16","1.4%","","2","","5","","7","","9","",""
"Simulacrum Synthesizer","U","M","646","3.13","178","","819","71.4%","56.5%","138","","222","","360","","457","",""
"Three Steps Ahead","U","M","635","2.61","230","3.00","1319","89.1%","57.2%","198","","398","","596","59.2%","723","55.6%","3.6pp"
"Dauthi Voidwalker","B","M","557","2.37","199","","1134","87.5%","54.3%","209","","333","","542","57.4%","597","51.6%","5.8pp"
"Deadly Dispute","B","M","1020","4.04","185","","830","70.2%","55.5%","146","","233","","379","","451","",""
"Extinction Event","B","M","525","2.27","241","2.51","1333","89.6%","55.4%","232","","360","","592","60.0%","741","51.8%","8.1pp"
"Final Act","B","M","571","2.76","147","","697","72.7%","55.1%","133","","190","","323","","374","",""
"Massacre Girl","B","M","423","2.20","191","","1096","83.8%","56.8%","167","","312","","479","","620","52.7%",""
"No Mercy","B","M","605","2.82","128","","613","74.6%","54.5%","103","","175","","278","","335","",""
"Chaos Warp","R","M","1143","5.05","108","","215","32.7%","","40","","58","","98","","117","",""
"Fiery Emancipation","R","M","1039","4.49","135","","316","36.7%","","52","","71","","123","","193","",""
"Fury of the Horde","R","M","1093","5.27","138","","127","14.8%","","19","","22","","41","","86","",""
"Monstrous Rage","R","M","898","3.91","157","","726","75.8%","55.1%","107","","172","","279","","447","",""
"Seize the Day","R","M","1005","4.10","87","","150","27.5%","","23","","35","","58","","92","",""
"Bedlam","R","M","1349","5.55","153","","69","7.5%","","7","","15","","22","","47","",""
"Beast Within","G","M","1118","5.23","101","","115","18.8%","","15","","36","","51","","64","",""
"Defense of the Heart","G","M","788","3.31","144","","609","67.1%","52.2%","114","","151","","265","","344","",""
"Force of Vigor","G","M","1247","5.12","135","","161","18.9%","","29","","44","","73","","89","",""
"Heroic Intervention","G","M","2752","3.85","374","5.13","1474","63.6%","52.1%","227","","356","","583","53.5%","891","51.2%","2.3pp"
"Primal Vigor","G","M","1000","4.48","97","","156","30.2%","","20","","35","","55","","101","",""
"Rancor","G","M","668","3.02","184","","932","80.7%","54.9%","146","","252","","398","","534","52.2%",""
"Steely Resolve","G","M","1090","4.65","134","","200","24.6%","","33","","63","","96","","105","",""
"Unnatural Growth","G","M","928","4.03","155","","591","62.2%","56.5%","92","","129","","221","","370","",""
"Anthem of Champions","WG","M","668","3.09","194","","927","78.1%","53.7%","170","","236","","406","","521","50.7%",""
"Aurelia, the Warleader","WR","M","545","2.76","172","","709","67.8%","55.7%","122","","183","","305","","405","",""
"Black Panther, Wakandan King","WG","M","534","2.42","215","2.60","1208","85.7%","60.5%","211","","297","","508","65.7%","700","57.0%","8.7pp"
"Captain America, First Avenger","WUR","M","744","3.40","176","","442","42.4%","","73","","107","","180","","265","",""
"Escape to the Wilds","RG","M","932","4.14","217","4.81","887","64.2%","56.3%","131","","226","","357","","530","52.3%",""
"Fight to the Death","WR","M","1265","5.39","143","","96","10.7%","","15","","27","","42","","54","",""
"Iron Man, Titan of Innovation","UR","M","563","2.59","198","","956","77.2%","53.9%","151","","257","","408","","553","48.1%",""
"Privileged Position","WG","M","1106","4.44","124","","224","31.0%","","37","","58","","95","","129","",""
"Ravenous Tyrannosaurus","RG","M","507","2.16","229","2.18","1239","85.0%","56.4%","245","","327","","572","59.6%","679","53.0%","6.6pp"
"Storm, Force of Nature","URG","M","815","3.32","179","","511","47.8%","50.7%","92","","158","","250","","263","",""
"Sundering Growth","WG","M","1137","4.66","139","","274","33.3%","","52","","74","","126","","148","",""
"Warleader's Call","WR","M","575","2.62","214","2.68","1159","82.1%","58.4%","220","","265","","485","","674","57.0%",""
"Wolverine, Best There Is","RG","M","533","2.51","157","","700","73.3%","52.3%","125","","172","","297","","403","",""
"Horn of Greed","","M","1207","5.47","145","","42","5.0%","","8","","10","","18","","24","",""
"Roaming Throne","","M","326","1.54","197","","1188","96.8%","53.9%","213","","327","","540","55.2%","651","52.7%","2.5pp"
"Sword of Fire and Ice","","M","237","1.16","223","1.16","1537","99.5%","62.5%","262","","413","","675","69.3%","859","57.2%","12.2pp"
