"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Doc Samson, Super Psychiatrist","G","U","71726","5.13","9098","7.55","31111","54.7%","53.0%","5214","52.4%","7712","52.9%","12926","52.7%","18292","53.1%","-0.4pp"
"Earth's Mightiest Heroes","G","M","6130","2.23","2671","2.27","14059","83.9%","55.6%","2359","56.1%","3614","59.0%","5973","57.8%","8090","53.9%","3.9pp"
"Epic Fight","G","R","13093","2.30","5212","2.44","29433","88.7%","55.7%","4914","55.1%","7309","59.7%","12223","57.9%","17219","54.1%","3.8pp"
"Giant Growth","G","C","225499","7.45","25209","11.00","42189","26.4%","54.4%","6975","51.8%","9901","57.3%","16876","55.0%","25329","53.9%","1.1pp"
"Go Nuts!","G","C","160975","4.35","34353","5.66","189968","86.0%","56.6%","32086","55.9%","48268","59.1%","80354","57.8%","109657","55.7%","2.1pp"
"Guerrilla Gorilla","G","C","208466","6.09","29481","8.73","118792","63.2%","55.9%","21125","55.6%","28548","56.1%","49673","55.9%","68955","55.9%","0.1pp"
"Hellcat, Undying Vigilante","G","U","71827","4.99","10909","6.98","45508","65.5%","55.3%","8026","57.3%","10869","55.5%","18895","56.2%","26581","54.7%","1.5pp"
"Hercules, Prince of Power","G","U","73918","5.10","10877","7.32","43779","63.7%","55.0%","7583","53.7%","10636","55.3%","18219","54.7%","25605","55.2%","-0.5pp"
"Heroic Feast","G","R","24026","4.18","3935","5.51","11740","48.5%","52.7%","2033","50.6%","2911","54.6%","4944","52.9%","6801","52.5%","0.4pp"
"Hulkling, Burgeoning Bruiser","G","U","72983","5.12","9241","7.49","31938","55.4%","53.1%","5766","52.9%","7464","51.9%","13230","52.4%","18728","53.6%","-1.2pp"
"Ka-Zar of the Savage Land","G","U","38831","2.74","15928","3.02","94542","91.3%","57.9%","16097","59.3%","24344","62.0%","40441","60.9%","53944","55.6%","5.3pp"
"Knight of Wundagore","G","C","206277","6.11","25442","8.98","90115","56.5%","53.5%","16224","52.8%","21125","52.2%","37349","52.4%","52814","54.3%","-1.8pp"
"Mister Hyde, Monster Within","G","U","55076","3.76","9700","5.08","50111","82.4%","54.4%","8923","55.8%","12351","54.7%","21274","55.1%","29060","53.7%","1.4pp"
"Mole Man, Moloid Master","G","R","20081","3.46","4036","4.30","16428","65.6%","53.2%","2887","53.2%","4079","53.8%","6966","53.6%","9494","53.0%","0.6pp"
"Pet Avengers","G","C","205500","5.94","33478","8.30","141421","66.1%","56.5%","24166","54.7%","36500","58.1%","60666","56.7%","81117","56.3%","0.4pp"
"Powerful Broker","G","C","227836","7.60","25604","11.18","30373","18.8%","53.1%","5281","51.1%","7155","51.5%","12436","51.3%","17973","54.3%","-3.0pp"
"Punishing Punch","G","U","46328","3.11","14298","3.72","83740","90.7%","57.2%","14004","57.6%","21461","60.9%","35465","59.6%","48294","55.5%","4.1pp"
"Rapid Rescue","G","C","230634","8.06","31968","11.15","55199","27.1%","57.2%","9962","57.0%","13970","58.2%","23932","57.7%","31271","56.7%","1.0pp"
"Reptil, Dinomorpher","G","U","81289","5.92","10218","8.74","29210","45.1%","55.7%","5196","56.6%","6964","56.3%","12160","56.4%","17041","55.1%","1.4pp"
"Restorative Technique","G","C","215382","6.85","22010","10.44","40134","29.1%","52.0%","6989","51.0%","9501","53.0%","16490","52.2%","23647","51.8%","0.4pp"
"Rick Jones, Destined Sidekick","G","U","94140","7.50","11638","10.86","8988","12.3%","53.9%","1601","54.3%","2122","53.3%","3723","53.8%","5268","54.0%","-0.2pp"
"Savage Land Dinosaur","G","C","204093","5.83","30154","8.37","129391","67.4%","55.4%","23673","54.0%","32187","56.5%","55860","55.4%","73917","55.3%","0.1pp"
